Method,AvgPr,Recall,lamda,alpha
simple LM,0.39973554766807606,558/2302,0.5,0.0
KL,0.39973554766807606,558/2302,0.5,0.0
Min KL,0.39973554766807606,558/2302,0.5,0.0
Min KL NEW,0.39973554766807606,558/2302,0.5,0.0
simple LM,0.39973554766807606,558/2302,0.5,0.1
KL,0.39973554766807606,558/2302,0.5,0.1
Min KL,0.41518343058255963,567/2302,0.5,0.1
Min KL NEW,0.4208123569537177,574/2302,0.5,0.1
Min KL NEW,0.4179048513813118,585/2302,0.5,0.2
Min KL,0.4101986449665321,579/2302,0.5,0.2
simple LM,0.39973554766807606,558/2302,0.5,0.2
KL,0.39973554766807606,558/2302,0.5,0.2
simple LM,0.39973554766807606,558/2302,0.5,0.30000000000000004
KL,0.39973554766807606,558/2302,0.5,0.30000000000000004
Min KL,0.4120200602938942,587/2302,0.5,0.30000000000000004
Min KL NEW,0.40956384778716864,595/2302,0.5,0.30000000000000004
simple LM,0.39973554766807606,558/2302,0.5,0.4
KL,0.39973554766807606,558/2302,0.5,0.4
Min KL,0.4128382919824426,598/2302,0.5,0.4
Min KL NEW,0.4028732271379212,604/2302,0.5,0.4
Min KL NEW,0.3978731607364643,600/2302,0.5,0.5
Min KL,0.4041926914811762,592/2302,0.5,0.5
KL,0.39973554766807606,558/2302,0.5,0.5
simple LM,0.39973554766807606,558/2302,0.5,0.5
simple LM,0.39973554766807606,558/2302,0.5,0.6000000000000001
KL,0.39973554766807606,558/2302,0.5,0.6000000000000001
Min KL,0.3902142998469796,597/2302,0.5,0.6000000000000001
Min KL NEW,0.39698549387876625,591/2302,0.5,0.6000000000000001
simple LM,0.39973554766807606,558/2302,0.5,0.7000000000000001
KL,0.39973554766807606,558/2302,0.5,0.7000000000000001
Min KL,0.3853262608702273,596/2302,0.5,0.7000000000000001
Min KL NEW,0.38833894293750304,579/2302,0.5,0.7000000000000001
Min KL NEW,0.3849595647049633,558/2302,0.5,0.8
Min KL,0.3840809831583792,588/2302,0.5,0.8
KL,0.39973554766807606,558/2302,0.5,0.8
simple LM,0.39973554766807606,558/2302,0.5,0.8
simple LM,0.39973554766807606,558/2302,0.5,0.9
KL,0.39973554766807606,558/2302,0.5,0.9
Min KL,0.3802680796906255,580/2302,0.5,0.9
Min KL NEW,0.3864737903019976,546/2302,0.5,0.9
simple LM,0.39973554766807606,558/2302,0.5,1.0
KL,0.39973554766807606,558/2302,0.5,1.0
Min KL,0.3841554514121949,579/2302,0.5,1.0
Min KL NEW,0.37946437952929096,548/2302,0.5,1.0
